,Compound,Date,Negative,Neutral,Outlet,Positive,Text,Tweet Count
104,0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,@CBS,0.0,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",5
105,0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,@CBS,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,6
106,0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,@CBS,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",7
107,0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,@CBS,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",8
108,0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,@CBS,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",9
109,0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,@CBS,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,10
110,0.8625,Thu Mar 08 18:00:49 +0000 2018,0.0,0.664,@CBS,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,11
111,0.4926,Thu Mar 08 17:03:04 +0000 2018,0.0,0.868,@CBS,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,12
112,-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,@CBS,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",13
113,0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,@CBS,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",14
